"reference","study","sample","exposure","exposure_time","exposure_period","iq_test","iq_wechsler","iq_mccarthy","age_tested","age_period_tested","model type","model n","orig_effect_size","orig_ci_lower","orig_ci_upper","exposure_level","exposure_type","exposure_standard_ugm3","standardised_effect_size","standardised_ci_lower","standardised_ci_upper"
2,"Freire et al. (2010)","Total","NO2","Childhood","post-natal","MSCA","KBIT|SB|MSCA|Mixed","yes","4 years","4 to 7 years","Linear regression model",210,-1.07,-9.99,7.85,"15.40-24.75","micrograms per cubic meter",NA,NA,NA,NA
2,"Freire et al. (2010)","Total","NO2","Childhood","post-natal","MSCA","KBIT|SB|MSCA|Mixed","yes","4 years","4 to 7 years","Linear regression model",210,-4.19,-14.02,5.64,">24.75","micrograms per cubic meter",NA,NA,NA,NA
3,"Guilbert et al. (2023)","Total","NO2","4 weeks","pre-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,0.01,0,0.02,"per 10μg/m3 increase","micrograms per cubic meter",10,0.01,0,0.02
3,"Guilbert et al. (2023)","Total","NO2","8 weeks","pre-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,0,-0.01,0.01,"per 10μg/m3 increase","micrograms per cubic meter",10,0,-0.01,0.01
3,"Guilbert et al. (2023)","Total","NO2","12 weeks","pre-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,-0.01,-0.02,0.01,"per 10μg/m3 increase","micrograms per cubic meter",10,-0.01,-0.02,0.01
3,"Guilbert et al. (2023)","Total","NO2","16 weeks","pre-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,-0.01,-0.02,0,"per 10μg/m3 increase","micrograms per cubic meter",10,-0.01,-0.02,0
3,"Guilbert et al. (2023)","Total","NO2","20 weeks","pre-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,-0.01,-0.02,0,"per 10μg/m3 increase","micrograms per cubic meter",10,-0.01,-0.02,0
3,"Guilbert et al. (2023)","Total","NO2","24 weeks","pre-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,0,-0.02,0.01,"per 10μg/m3 increase","micrograms per cubic meter",10,0,-0.02,0.01
3,"Guilbert et al. (2023)","Total","NO2","28 weeks","pre-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,0,-0.01,0.01,"per 10μg/m3 increase","micrograms per cubic meter",10,0,-0.01,0.01
3,"Guilbert et al. (2023)","Total","NO2","32 weeks","pre-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,0,-0.02,0,"per 10μg/m3 increase","micrograms per cubic meter",10,0,-0.02,0
3,"Guilbert et al. (2023)","Total","NO2","6 months","post-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,0.02,0,0.04,"per 10μg/m3 increase","micrograms per cubic meter",10,0.02,0,0.04
3,"Guilbert et al. (2023)","Total","NO2","12 months","post-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,0.01,-0.01,0.03,"per 10μg/m3 increase","micrograms per cubic meter",10,0.01,-0.01,0.03
3,"Guilbert et al. (2023)","Total","NO2","18 months","post-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,0,-0.03,0.02,"per 10μg/m3 increase","micrograms per cubic meter",10,0,-0.03,0.02
3,"Guilbert et al. (2023)","Total","NO2","24 months","post-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,-0.01,-0.03,0.01,"per 10μg/m3 increase","micrograms per cubic meter",10,-0.01,-0.03,0.01
3,"Guilbert et al. (2023)","Total","NO2","30 months","post-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,-0.01,-0.03,0.01,"per 10μg/m3 increase","micrograms per cubic meter",10,-0.01,-0.03,0.01
3,"Guilbert et al. (2023)","Total","NO2","36 months","post-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,-0.01,-0.03,0.01,"per 10μg/m3 increase","micrograms per cubic meter",10,-0.01,-0.03,0.01
3,"Guilbert et al. (2023)","Total","NO2","42 months","post-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,0,-0.03,0.02,"per 10μg/m3 increase","micrograms per cubic meter",10,0,-0.03,0.02
3,"Guilbert et al. (2023)","Total","NO2","48 months","post-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,0.01,-0.01,0.03,"per 10μg/m3 increase","micrograms per cubic meter",10,0.01,-0.01,0.03
7,"Kusters et al. (2022)","Total","NO2","Pregnancy","pre-natal","WISC-5","Wechsler version","no","13-16 years","8 years +","Linear regression model",4683,0.53,-0.28,1.34,"per 10μg/m3 increase","micrograms per cubic meter",10,0.53,-0.28,1.34
7,"Kusters et al. (2022)","Total","NO2","Childhood","post-natal","WISC-5","Wechsler version","no","13-16 years","8 years +","Linear regression model",4683,0.13,-0.59,0.85,"per 10μg/m3 increase","micrograms per cubic meter",10,0.13,-0.59,0.85
8,"Ni et al. (2022)","Total","NO2","1st trimester","pre-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",1391,0.37,-0.03,0.77,"per 2 ppb NO2","parts per billion",3.89,0.95,-0.08,1.98
8,"Ni et al. (2022)","Total","NO2","2nd trimester","pre-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",1391,0.16,-0.25,0.57,"per 2 ppb NO2","parts per billion",3.89,0.41,-0.64,1.47
8,"Ni et al. (2022)","Total","NO2","3rd trimester","pre-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",1383,-0.27,-0.67,0.13,"per 2 ppb NO2","parts per billion",3.89,-0.69,-1.72,0.33
8,"Ni et al. (2022)","Total","NO2","Pregnancy","pre-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",1391,0.17,-0.35,0.7,"per 2 ppb NO2","parts per billion",3.89,0.44,-0.9,1.8
8,"Ni et al. (2022)","Total","NO2","0-2 years","post-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",1375,0.25,-0.35,0.85,"per 2 ppb NO2","parts per billion",3.89,0.64,-0.9,2.19
8,"Ni et al. (2022)","Total","NO2","2–4 years","post-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",1361,0,-0.56,0.57,"per 2 ppb NO2","parts per billion",3.89,0,-1.44,1.47
8,"Ni et al. (2022)","Boys","NO2","1st trimester","pre-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,0.23,-0.31,0.77,"per 2 ppb NO2","parts per billion",3.89,0.59,-0.8,1.98
8,"Ni et al. (2022)","Boys","NO2","2nd trimester","pre-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,0.13,-0.4,0.66,"per 2 ppb NO2","parts per billion",3.89,0.33,-1.03,1.7
8,"Ni et al. (2022)","Boys","NO2","3rd trimester","pre-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,-0.3,-0.81,0.22,"per 2 ppb NO2","parts per billion",3.89,-0.77,-2.08,0.57
8,"Ni et al. (2022)","Boys","NO2","Pregnancy","pre-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,0.07,-0.62,0.75,"per 2 ppb NO2","parts per billion",3.89,0.18,-1.59,1.93
8,"Ni et al. (2022)","Boys","NO2","0-2 years","post-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,0.09,-0.72,0.9,"per 2 ppb NO2","parts per billion",3.89,0.23,-1.85,2.31
8,"Ni et al. (2022)","Boys","NO2","2–4 years","post-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,-0.03,-0.79,0.73,"per 2 ppb NO2","parts per billion",3.89,-0.08,-2.03,1.88
8,"Ni et al. (2022)","Girls","NO2","1st trimester","pre-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,0.33,-0.15,0.81,"per 2 ppb NO2","parts per billion",3.89,0.85,-0.39,2.08
8,"Ni et al. (2022)","Girls","NO2","2nd trimester","pre-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,0.16,-0.35,0.67,"per 2 ppb NO2","parts per billion",3.89,0.41,-0.9,1.72
8,"Ni et al. (2022)","Girls","NO2","3rd trimester","pre-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,-0.2,-0.71,0.3,"per 2 ppb NO2","parts per billion",3.89,-0.51,-1.83,0.77
8,"Ni et al. (2022)","Girls","NO2","Pregnancy","pre-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,0.19,-0.42,0.8,"per 2 ppb NO2","parts per billion",3.89,0.49,-1.08,2.06
8,"Ni et al. (2022)","Girls","NO2","0-2 years","post-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,0.61,-0.07,1.29,"per 2 ppb NO2","parts per billion",3.89,1.57,-0.18,3.32
8,"Ni et al. (2022)","Girls","NO2","2–4 years","post-natal","SB-5, WISC-V","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,0.15,-0.5,0.8,"per 2 ppb NO2","parts per billion",3.89,0.39,-1.29,2.06
9,"Porta et al. (2016)","Total","NO2","Pregnancy","pre-natal","WISC-III","Wechsler version","no","7 years","4 to 7 years","Linear regression model",465,-1.1,-2.3,0.1,"per 10 μg/m3 increase","micrograms per cubic meter",10,-1.1,-2.3,0.1
99,"Loftus et al. (2019)","Total","NO2","Pregnancy","pre-natal","SB-5","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",924,1.14,-0.96,3.24,"per 5 ppb NO2","parts per billion",9.73,1.17,-0.99,3.33
99,"Loftus et al. (2019)","Boys","NO2","Pregnancy","pre-natal","SB-5","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,1.8,-1.46,5,"per 5 ppb NO2","parts per billion",9.73,1.85,-1.5,5.14
99,"Loftus et al. (2019)","Girls","NO2","Pregnancy","pre-natal","SB-5","KBIT|SB|MSCA|Mixed","no","4-6 years","4 to 7 years","Linear regression model",NA,1.02,-1.52,3.63,"per 5 ppb NO2","parts per billion",9.73,1.05,-1.56,3.73
